URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,CRISPY CHICKEN WINGS,208000,,APPETIZER,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,PRAWN TEMPURA,278000,,APPETIZER,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,CRISPY CALAMARI WITH BUTTER OAT AND CURRY LEAVES,278000,,APPETIZER,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Bún Gạo Xào Rau Củ (Chay),138000,,NOODLE,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Bún Gạo Xào Singapore,168000,,NOODLE,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Mì Mã Lai Xào Khoai Tây,168000,,NOODLE,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Mì Mã Lai Xào Hải Sản,188000,,NOODLE,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Mì Mã Lai Xào Bò Angus,208000,,NOODLE,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Mì Phúc Kiến Xào Tôm,188000,,NOODLE,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Hủ Tiếu Xào Singapore,188000,,NOODLE,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Hủ Tiếu Xào Hải Sản,188000,,NOODLE,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Mì Xào Giòn Hải Sản,188000,,NOODLE,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Bún Cari Singapore,188000,,NOODLE,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Miến Xào Thịt Cua,298000,,NOODLE,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Cơm trắng,28000,,Món phụ,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Bánh mì,28000,,Món phụ,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Bánh roti prata,38000,,Món phụ,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Cơm dừa,48000,,Món phụ,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Khoai tây chiên,68000,,Món phụ,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Cá hường biển chiên ớt đặc biệt,368000,,Hải sản,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Cá chim chiên giòn chua ngọt,398000,,Hải sản,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,Cá chim chiên giòn ớt đặc biệt,398000,,Hải sản,,,,,,,,
/Users/LENOVO/Desktop/selenium\restaurant_data_dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225.csv,,,,,,,,,,,,,,,,,,,,,,,,TOFU GORENG# Bún Cari Singapore# Miến Xào Thịt Cua# SAMBAL COCKLE,138000# 188000# 298000# 268000,# # # ,APPETIZER# NOODLE# NOODLE# APPETIZER,Combo 1,892000,2024-11-27 08:50:59,,,,,
/Users/LENOVO/Desktop/selenium\restaurant_data_dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225.csv,,,,,,,,,,,,,,,,,,,,,,,,SAMBAL IKAN BILIS# BEEF SATAY# SINGAPORE FAMOUS BABY SQUID# Cá hường biển chiên ớt đặc biệt,228000# 238000# 298000# 368000,# # # ,APPETIZER# APPETIZER# APPETIZER# Hải sản,Combo 2,1132000,2024-11-27 08:50:59,,,,,
/Users/LENOVO/Desktop/selenium\restaurant_data_dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225.csv,,,,,,,,,,,,,,,,,,,,,,,,CHAWANMUSHI CRAB IN D EGG# SAMBAL IKAN BILIS# BEEF SATAY,178000# 228000# 238000,# # ,APPETIZER# APPETIZER# APPETIZER,Combo 3,644000,2024-11-27 08:50:59,,,,,
/Users/LENOVO/Desktop/selenium\restaurant_data_dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225.csv,,,,,,,,,,,,,,,,,,,,,,,,Mì Xào Giòn Hải Sản# Mì Mã Lai Xào Khoai Tây# Bún Cari Singapore# CRISPY UFO,188000# 168000# 188000# 148000,# # # ,NOODLE# NOODLE# NOODLE# APPETIZER,Combo 4,692000,2024-11-27 08:50:59,,,,,
/Users/LENOVO/Desktop/selenium\restaurant_data_dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225.csv,,,,,,,,,,,,,,,,,,,,,,,,Miến Xào Thịt Cua# Bánh roti prata# VIETNAMESE PRAWN SPRING ROLLS# Mì Phúc Kiến Xào Tôm,298000# 38000# 138000# 188000,# # # ,NOODLE# Món phụ# APPETIZER# NOODLE,Combo 5,662000,2024-11-27 08:50:59,,,,,
C:\Users\LENOVO\Desktop\selenium\restaurant_data_dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Ăn từ lâu rồi, sao Michellin gì cũng không rõ nữa nhưng chỉ biết là quán này ngon. Hơi xa nhà nên có thời gian mới đi ăn được. Phở ngon lắm, nước đậm vị, bánh phở dai, khẩu phần ăn no.",,2024-08-22,2024-06-30
C:\Users\LENOVO\Desktop\selenium\restaurant_data_dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,most breathtaking view of ho chi minh you can find! nice cocktails and good burgers for the people traveling in vietnam for a long time and craving for something different! dont miss it!,,2024-08-23,2024-08-31
C:\Users\LENOVO\Desktop\selenium\restaurant_data_dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,The restaurant has a huge variety of Japanese and Vietnamese food and a great menu with vegetarian and vegan options. Staff is very friendly. ,,2024-04-01,2024-04-30
C:\Users\LENOVO\Desktop\selenium\restaurant_data_dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Đồ ăn tươi ngon, đa dạng món, không gian quán rộng rãi khá thoáng mát, nhân viên dễ thương tư vấn nhiệt tình, sẽ quay lại vào lần sau",,2024-08-14,2024-08-31
